Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,FMCG,Tier3,5L-20L,Bulk,"Paper, Plastic",No Process,,Low,"Sustainability, Storage",Monthly,5K-20K,Medium,"Biodegradable, Paper",Branding,"Supplier Issues, Cost Increase",10K-50K,10-20%,High,Finance,"Performance, Sustainability",Unlikely,No
Operations,Cloud Kitchen,Tier3,5L-20L,Bulk,"Flexible, Paper",Vendor,"Inventory, Cost",High,"Sustainability, Wastage, High Cost",Monthly,<5K,Medium,"Premium, Paper",Quality,"Complaints, Sustainability, Regulation",10K-50K,<5%,High,Owner,Supplier Analytics,Likely,No
Procurement,Cloud Kitchen,Tier3,20L-1Cr,Monthly,Paper,Vendor,,Medium,"High Cost, Sustainability, Breakage",Weekly,5K-20K,Medium,Recyclable,Quality,Supplier Issues,2L-10L,5-10%,High,Multiple,"Supplier Analytics, Forecasting, Sustainability",Very Likely,Yes
Procurement,Restaurant,Tier2,<5L,Weekly,"Paper, Flexible",Experience,Supplier,High,High Cost,Weekly,20K-1L,Low,"Paper, Plastic, Premium",Cost,"Sustainability, Regulation",<10K,5-10%,High,Multiple,"Performance, Supplier Analytics",Very Likely,Yes
Procurement,Restaurant,Tier1,<5L,Weekly,"Paper, Flexible, Glass",Vendor,"Supplier, Failures, Cost",High,"Sustainability, Wastage, Supplier Issues",Weekly,20K-1L,High,"Biodegradable, Paper",Quality,Sustainability,<10K,20-30%,High,Multiple,"Forecasting, Cost Dashboard",Likely,Yes
Owner,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Flexible, Plastic",Vendor,"Failures, Cost",Medium,"Supplier Issues, High Cost",Weekly,20K-1L,High,"Paper, Premium",Sustainability,"Sustainability, Cost Increase, Supplier Issues",2L-10L,5-10%,High,Finance,"Cost Dashboard, Forecasting, Performance",Likely,Yes
Operations,Restaurant,Tier1,20L-1Cr,Weekly,"Plastic, Glass, Paper",Excel,,Low,"Sustainability, Breakage, Wastage",Daily,20K-1L,Low,"Plastic, Paper, Premium",Sustainability,Cost Increase,2L-10L,10-20%,High,Operations,"Performance, Supplier Analytics, Sustainability",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,<5L,Daily,Plastic,ERP,"Cost, Supplier",Medium,Storage,Weekly,20K-1L,High,"Paper, Biodegradable, Recyclable",Sustainability,"Sustainability, Cost Increase, Complaints",<10K,20-30%,High,Operations,"Performance, Cost Dashboard",Likely,Yes
Owner,Restaurant,Tier3,20L-1Cr,Monthly,"Flexible, Biodegradable",No Process,,Low,Sustainability,Weekly,20K-1L,Low,Paper,Quality,"Regulation, Supplier Issues, Sustainability",50K-2L,5-10%,High,Owner,"Performance, Supplier Analytics, Forecasting",Very Likely,Yes
Operations,Restaurant,Tier1,<5L,Bulk,Flexible,No Process,"Supplier, Cost, Inventory",Medium,"Breakage, Wastage",Monthly,<5K,,"Premium, Plastic",Branding,"Complaints, Regulation, Cost Increase",<10K,20-30%,High,Multiple,Supplier Analytics,Unlikely,No
Owner,FMCG,Tier2,5L-20L,Monthly,Plastic,Experience,"Supplier, Inventory, Cost",Medium,"Breakage, Sustainability, High Cost",Monthly,<5K,Medium,Paper,Quality,"Complaints, Regulation",10K-50K,10-20%,High,Finance,Cost Dashboard,Likely,No
Operations,Cloud Kitchen,Tier2,<5L,Bulk,"Paper, Biodegradable",No Process,"Cost, Inventory",Medium,Storage,Weekly,20K-1L,Medium,"Biodegradable, Recyclable",Cost,"Cost Increase, Complaints",<10K,10-20%,Medium,Multiple,"Sustainability, Performance, Forecasting",Very Likely,Yes
Procurement,Restaurant,Tier2,5L-20L,Daily,"Flexible, Plastic, Glass",Experience,"Cost, Supplier, Inventory",Medium,Breakage,Weekly,20K-1L,High,Biodegradable,Branding,"Cost Increase, Sustainability",50K-2L,20-30%,Medium,Multiple,"Supplier Analytics, Performance",Very Likely,Yes
Operations,FMCG,Tier1,5L-20L,Bulk,Flexible,Experience,"Inventory, Failures, Supplier",Medium,Breakage,Monthly,<5K,Medium,"Biodegradable, Premium, Plastic",Cost,"Regulation, Sustainability, Supplier Issues",50K-2L,20-30%,High,Owner,Supplier Analytics,Not Sure,No
Procurement,FMCG,Tier2,20L-1Cr,Bulk,"Glass, Paper",Vendor,,Medium,High Cost,Daily,20K-1L,,Plastic,Quality,"Regulation, Complaints",50K-2L,<5%,High,Owner,"Supplier Analytics, Performance, Cost Dashboard",Very Likely,Yes
Procurement,FMCG,Tier1,5L-20L,Daily,Biodegradable,ERP,Failures,Medium,"Breakage, Sustainability, High Cost",Daily,1L+,High,"Recyclable, Premium, Biodegradable",Branding,"Regulation, Cost Increase",10K-50K,10-20%,Medium,Owner,Performance,Very Likely,Yes
Operations,Restaurant,Tier1,<5L,Bulk,Plastic,ERP,"Inventory, Failures, Cost",High,"Breakage, High Cost, Supplier Issues",Weekly,5K-20K,Medium,"Plastic, Premium",Quality,"Sustainability, Supplier Issues",<10K,5-10%,High,Finance,"Sustainability, Forecasting, Performance",Not Sure,Maybe
Owner,Cloud Kitchen,Tier3,1Cr+,Bulk,Biodegradable,Experience,Inventory,Medium,"Supplier Issues, Breakage, Wastage",Weekly,5K-20K,High,"Plastic, Recyclable",Branding,"Supplier Issues, Regulation",2L-10L,20-30%,High,Finance,Performance,Likely,No
Owner,Manufacturer,Tier3,5L-20L,Daily,"Paper, Glass, Flexible",Excel,Inventory,High,"Wastage, Breakage, High Cost",Monthly,<5K,Medium,"Biodegradable, Premium, Recyclable",Quality,Regulation,10K-50K,5-10%,Medium,Owner,"Performance, Forecasting",Unlikely,No
Operations,Manufacturer,Tier1,20L-1Cr,Monthly,"Biodegradable, Glass, Plastic",Experience,Failures,High,"Wastage, High Cost, Sustainability",Weekly,5K-20K,Medium,"Premium, Recyclable, Paper",Cost,Supplier Issues,50K-2L,10-20%,High,Owner,"Sustainability, Cost Dashboard, Performance",Likely,No
Owner,Supplier,Tier1,5L-20L,Bulk,"Plastic, Paper, Biodegradable",Excel,Inventory,Medium,"Wastage, Storage",Rare,<5K,High,"Paper, Plastic",Sustainability,Sustainability,10K-50K,10-20%,High,Finance,"Forecasting, Performance, Supplier Analytics",Likely,No
Operations,Cloud Kitchen,Tier1,20L-1Cr,Weekly,Plastic,No Process,"Supplier, Failures, Inventory",Medium,"Breakage, High Cost",Monthly,5K-20K,Medium,"Premium, Plastic",Quality,Complaints,50K-2L,10-20%,Medium,Finance,"Cost Dashboard, Forecasting",Likely,No
Procurement,FMCG,Tier2,5L-20L,Weekly,"Paper, Biodegradable, Plastic",No Process,,Medium,"High Cost, Storage, Sustainability",Weekly,5K-20K,High,Paper,Quality,Sustainability,10K-50K,5-10%,Low,Operations,"Sustainability, Performance, Supplier Analytics",Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,20L-1Cr,Monthly,"Biodegradable, Glass",Excel,"Cost, Failures",High,"Sustainability, Wastage, Storage",Monthly,<5K,Medium,"Recyclable, Biodegradable, Premium",Sustainability,"Cost Increase, Regulation, Complaints",50K-2L,10-20%,High,Owner,"Sustainability, Forecasting",Likely,No
Operations,Cloud Kitchen,Tier2,5L-20L,Daily,"Flexible, Glass, Plastic",Excel,"Supplier, Failures",High,"Sustainability, Breakage",Weekly,20K-1L,Medium,"Recyclable, Plastic, Premium",Cost,"Supplier Issues, Regulation",10K-50K,30%+,Medium,Multiple,Supplier Analytics,Likely,Maybe
Owner,Restaurant,Tier3,20L-1Cr,Monthly,"Biodegradable, Glass",ERP,"Cost, Failures",Medium,"Storage, High Cost",Daily,1L+,Medium,"Biodegradable, Paper, Plastic",Quality,"Sustainability, Cost Increase",2L-10L,5-10%,High,Multiple,"Forecasting, Cost Dashboard",Very Likely,Maybe
Operations,FMCG,Tier1,1Cr+,Daily,Paper,Experience,"Failures, Cost",Medium,"Supplier Issues, Sustainability, Wastage",Weekly,5K-20K,Medium,"Premium, Paper, Plastic",Sustainability,"Cost Increase, Regulation, Sustainability",10L+,10-20%,Medium,Owner,"Performance, Supplier Analytics, Sustainability",Very Likely,Yes
Operations,Cloud Kitchen,Tier2,5L-20L,Daily,"Biodegradable, Paper",Vendor,Cost,Medium,"Supplier Issues, Sustainability",Monthly,<5K,,"Premium, Paper",Branding,"Complaints, Sustainability",50K-2L,20-30%,High,Operations,Sustainability,Likely,Maybe
Owner,Cloud Kitchen,Tier3,5L-20L,Weekly,"Paper, Plastic",No Process,"Failures, Supplier, Inventory",Medium,Storage,Weekly,20K-1L,High,"Paper, Biodegradable",Sustainability,"Sustainability, Supplier Issues",10K-50K,30%+,Low,Multiple,Supplier Analytics,Likely,Maybe
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,"Flexible, Glass",ERP,Cost,High,Supplier Issues,Daily,20K-1L,High,"Paper, Biodegradable",Cost,"Regulation, Supplier Issues",10K-50K,30%+,Low,Finance,Sustainability,Likely,Maybe
Owner,Manufacturer,Tier1,<5L,Weekly,Glass,Experience,,Low,"Sustainability, High Cost",Monthly,5K-20K,Medium,"Premium, Biodegradable",Sustainability,"Supplier Issues, Complaints, Regulation",<10K,10-20%,Medium,Multiple,"Supplier Analytics, Performance, Cost Dashboard",Unlikely,No
Operations,FMCG,Tier1,20L-1Cr,Monthly,Glass,Excel,"Supplier, Cost, Failures",High,"Wastage, Sustainability",Monthly,<5K,Low,Premium,Branding,"Cost Increase, Regulation, Sustainability",2L-10L,<5%,Medium,Finance,"Sustainability, Performance",Very Likely,Yes
Operations,Restaurant,Tier1,5L-20L,Weekly,"Glass, Plastic",Excel,,Medium,"Supplier Issues, Sustainability",Monthly,5K-20K,High,"Recyclable, Biodegradable",Quality,"Cost Increase, Complaints, Supplier Issues",10K-50K,5-10%,Low,Multiple,"Sustainability, Performance",Not Sure,Maybe
Operations,Restaurant,Tier2,1Cr+,Monthly,Biodegradable,Excel,Failures,Medium,"High Cost, Breakage",Weekly,20K-1L,Medium,"Paper, Recyclable, Biodegradable",Quality,"Complaints, Sustainability",2L-10L,10-20%,Low,Finance,"Cost Dashboard, Forecasting",Very Likely,Yes
Operations,FMCG,Tier1,<5L,Monthly,"Paper, Plastic, Biodegradable",ERP,"Inventory, Failures, Cost",Medium,"Supplier Issues, High Cost, Wastage",Rare,<5K,Medium,Paper,Sustainability,"Sustainability, Cost Increase, Complaints",<10K,10-20%,Low,Operations,Supplier Analytics,Likely,No
Operations,Cloud Kitchen,Tier1,20L-1Cr,Weekly,Glass,Vendor,,Low,"Supplier Issues, Wastage, Breakage",Monthly,<5K,Medium,Plastic,Cost,Sustainability,50K-2L,10-20%,High,Finance,"Cost Dashboard, Sustainability",Unlikely,Maybe
Procurement,FMCG,Tier2,5L-20L,Weekly,Glass,ERP,Failures,Medium,"High Cost, Storage",Monthly,<5K,High,"Plastic, Paper",Quality,"Regulation, Complaints, Cost Increase",10K-50K,20-30%,High,Owner,"Performance, Sustainability",Not Sure,Maybe
Procurement,Supplier,Tier2,5L-20L,Monthly,"Biodegradable, Paper, Plastic",Excel,,Medium,High Cost,Monthly,<5K,Low,Recyclable,Quality,"Sustainability, Complaints, Cost Increase",10K-50K,<5%,Medium,Finance,"Cost Dashboard, Sustainability, Supplier Analytics",Likely,Maybe
Owner,FMCG,Tier1,5L-20L,Daily,"Paper, Flexible",Experience,Failures,High,High Cost,Monthly,5K-20K,Low,Biodegradable,Quality,Supplier Issues,50K-2L,5-10%,Low,Multiple,"Sustainability, Forecasting, Cost Dashboard",Likely,Maybe
Operations,Cloud Kitchen,Tier2,20L-1Cr,Monthly,"Glass, Flexible",Vendor,,Medium,"Sustainability, High Cost",Monthly,5K-20K,Medium,"Premium, Biodegradable",Sustainability,Sustainability,50K-2L,5-10%,Medium,Multiple,"Forecasting, Sustainability",Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,5L-20L,Monthly,"Flexible, Plastic",No Process,Cost,High,"Wastage, Breakage, Supplier Issues",Daily,20K-1L,Medium,Plastic,Sustainability,Sustainability,50K-2L,10-20%,Low,Owner,"Cost Dashboard, Sustainability",Likely,No
Operations,Supplier,Tier2,20L-1Cr,Bulk,"Biodegradable, Glass, Flexible",Experience,,Low,High Cost,Weekly,5K-20K,Medium,Premium,Sustainability,Regulation,2L-10L,<5%,High,Owner,Supplier Analytics,Very Likely,Maybe
Procurement,Cloud Kitchen,Tier1,5L-20L,Bulk,"Glass, Paper",No Process,Cost,High,"Sustainability, High Cost, Storage",Monthly,5K-20K,,"Paper, Premium, Recyclable",Sustainability,"Complaints, Cost Increase, Regulation",10K-50K,<5%,High,Owner,"Performance, Forecasting, Sustainability",Unlikely,Maybe
Finance,Manufacturer,Tier1,<5L,Monthly,"Biodegradable, Glass",Experience,"Supplier, Cost, Failures",Medium,"Supplier Issues, Sustainability, High Cost",Rare,<5K,,"Paper, Plastic",Quality,"Complaints, Sustainability",<10K,5-10%,Medium,Finance,Supplier Analytics,Likely,No
Owner,Restaurant,Tier3,5L-20L,Weekly,"Paper, Flexible",Experience,,Medium,"Breakage, Wastage",Weekly,20K-1L,High,Recyclable,Cost,Cost Increase,10K-50K,5-10%,Medium,Multiple,Cost Dashboard,Very Likely,Maybe
Procurement,Supplier,Tier2,<5L,Weekly,Flexible,ERP,"Cost, Supplier",Medium,Breakage,Weekly,20K-1L,Medium,"Plastic, Recyclable",Sustainability,"Sustainability, Complaints, Regulation",<10K,<5%,Medium,Multiple,"Sustainability, Supplier Analytics",Very Likely,Yes
Operations,FMCG,Tier1,5L-20L,Weekly,"Plastic, Biodegradable, Flexible",ERP,"Cost, Supplier",High,"Storage, Breakage",Daily,20K-1L,High,Biodegradable,Cost,Sustainability,10K-50K,20-30%,Medium,Finance,Supplier Analytics,Very Likely,Yes
Procurement,Supplier,Tier1,<5L,Monthly,"Glass, Biodegradable",Excel,"Supplier, Cost, Inventory",High,"Breakage, High Cost",Monthly,<5K,High,"Biodegradable, Plastic, Paper",Cost,"Supplier Issues, Sustainability",<10K,5-10%,Low,Operations,"Supplier Analytics, Sustainability, Forecasting",Not Sure,Maybe
Owner,Restaurant,Tier2,<5L,Bulk,Paper,ERP,Inventory,High,"Supplier Issues, Sustainability, Storage",Monthly,5K-20K,Low,Premium,Quality,Complaints,<10K,5-10%,High,Multiple,Sustainability,Not Sure,Maybe
Owner,FMCG,Tier2,<5L,Bulk,Plastic,Vendor,"Supplier, Failures, Inventory",Medium,High Cost,Rare,<5K,High,Recyclable,Quality,"Supplier Issues, Sustainability, Regulation",<10K,5-10%,Medium,Operations,"Cost Dashboard, Performance",Likely,Maybe
Operations,FMCG,Tier2,5L-20L,Monthly,"Flexible, Glass",ERP,"Failures, Cost",High,Wastage,Daily,1L+,Low,"Recyclable, Biodegradable, Paper",Cost,"Cost Increase, Supplier Issues",50K-2L,5-10%,High,Multiple,Cost Dashboard,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,5L-20L,Daily,"Paper, Glass, Plastic",Experience,"Cost, Supplier, Failures",High,"Sustainability, Breakage, Storage",Weekly,20K-1L,Medium,Biodegradable,Branding,Sustainability,10K-50K,10-20%,High,Operations,"Cost Dashboard, Sustainability",Likely,Maybe
Owner,Supplier,Tier1,<5L,Bulk,"Plastic, Flexible",No Process,"Cost, Supplier",Medium,"Supplier Issues, High Cost, Storage",Weekly,20K-1L,,Plastic,Quality,"Supplier Issues, Complaints",<10K,20-30%,High,Operations,"Sustainability, Cost Dashboard, Supplier Analytics",Very Likely,Yes
Owner,Restaurant,Tier2,5L-20L,Bulk,"Glass, Plastic",Excel,"Cost, Supplier",Medium,"Storage, Sustainability, Wastage",Rare,<5K,Low,Recyclable,Sustainability,"Cost Increase, Supplier Issues, Sustainability",50K-2L,30%+,Low,Finance,"Supplier Analytics, Forecasting, Performance",Unlikely,Maybe
Procurement,Manufacturer,Tier1,5L-20L,Bulk,Flexible,No Process,"Inventory, Cost, Supplier",Medium,"Wastage, High Cost",Monthly,<5K,High,"Biodegradable, Paper",Cost,"Cost Increase, Supplier Issues, Sustainability",50K-2L,5-10%,High,Owner,"Forecasting, Cost Dashboard",Likely,Maybe
Operations,Supplier,Tier2,5L-20L,Weekly,Glass,Excel,"Failures, Supplier, Inventory",High,"Storage, Sustainability",Weekly,20K-1L,High,"Paper, Recyclable",Cost,"Complaints, Supplier Issues",50K-2L,<5%,Medium,Finance,"Cost Dashboard, Sustainability",Very Likely,Yes
Owner,Restaurant,Tier1,<5L,Bulk,"Flexible, Glass, Plastic",Vendor,"Supplier, Inventory",Medium,"Wastage, Sustainability",Weekly,20K-1L,High,"Biodegradable, Premium, Recyclable",Cost,"Cost Increase, Complaints, Regulation",<10K,10-20%,High,Owner,"Sustainability, Forecasting",Very Likely,Maybe
Operations,Supplier,Tier2,<5L,Monthly,Flexible,ERP,Cost,Medium,"Breakage, Storage, Wastage",Weekly,20K-1L,Low,Plastic,Sustainability,"Supplier Issues, Sustainability, Cost Increase",<10K,20-30%,Low,Multiple,"Performance, Supplier Analytics",Likely,Maybe
Operations,Restaurant,Tier1,1Cr+,Bulk,"Plastic, Biodegradable, Paper",Excel,"Cost, Failures",High,Sustainability,Weekly,5K-20K,Medium,Biodegradable,Cost,Cost Increase,10L+,5-10%,High,Finance,"Forecasting, Cost Dashboard, Sustainability",Likely,No
Owner,Cloud Kitchen,Tier2,<5L,Daily,"Plastic, Biodegradable, Glass",Excel,,Low,"Sustainability, Breakage, Wastage",Monthly,<5K,High,Premium,Quality,Complaints,<10K,<5%,Low,Finance,"Supplier Analytics, Sustainability",Likely,No
Procurement,Manufacturer,Tier2,<5L,Bulk,"Glass, Plastic",Vendor,Failures,Medium,Wastage,Daily,20K-1L,Low,"Biodegradable, Paper, Premium",Sustainability,Sustainability,<10K,5-10%,Low,Finance,Supplier Analytics,Very Likely,Yes
Procurement,Supplier,Tier1,<5L,Bulk,"Flexible, Plastic, Glass",Excel,,Medium,Sustainability,Monthly,<5K,Low,Biodegradable,Cost,"Complaints, Cost Increase, Sustainability",<10K,20-30%,Medium,Operations,"Sustainability, Forecasting",Likely,No
Owner,Supplier,Tier1,20L-1Cr,Weekly,"Plastic, Flexible",Experience,"Failures, Inventory, Supplier",Medium,"Wastage, Storage, High Cost",Monthly,<5K,Medium,Plastic,Sustainability,"Complaints, Cost Increase",50K-2L,10-20%,Low,Finance,Cost Dashboard,Likely,No
Operations,Restaurant,Tier1,5L-20L,Monthly,Glass,Excel,"Failures, Supplier, Inventory",High,"Wastage, Sustainability, Breakage",Weekly,5K-20K,High,"Paper, Biodegradable, Recyclable",Cost,"Supplier Issues, Regulation",10K-50K,5-10%,High,Finance,"Performance, Forecasting, Sustainability",Likely,Maybe
Operations,Manufacturer,Tier3,5L-20L,Weekly,"Glass, Paper",Experience,,Medium,Wastage,Monthly,5K-20K,High,"Recyclable, Plastic, Premium",Sustainability,"Cost Increase, Complaints, Supplier Issues",50K-2L,20-30%,High,Multiple,"Sustainability, Supplier Analytics",Likely,No
Operations,FMCG,Tier2,<5L,Bulk,"Flexible, Biodegradable",Excel,Failures,Medium,"Supplier Issues, Wastage, Breakage",Monthly,5K-20K,Medium,"Recyclable, Paper",Cost,"Regulation, Complaints, Sustainability",<10K,<5%,Low,Operations,Performance,Likely,Maybe
Operations,Restaurant,Tier3,5L-20L,Weekly,"Flexible, Biodegradable, Glass",No Process,"Inventory, Supplier, Failures",Medium,"Supplier Issues, Sustainability, Breakage",Monthly,5K-20K,Low,Recyclable,Cost,Cost Increase,10K-50K,10-20%,Low,Multiple,"Cost Dashboard, Supplier Analytics",Likely,No
Procurement,Restaurant,Tier2,<5L,Bulk,"Flexible, Plastic, Glass",Experience,,Low,"Sustainability, Wastage",Monthly,<5K,Medium,"Recyclable, Biodegradable",Cost,"Sustainability, Regulation, Cost Increase",<10K,20-30%,High,Multiple,"Cost Dashboard, Performance",Not Sure,Maybe
Owner,Restaurant,Tier1,5L-20L,Monthly,Glass,Excel,"Failures, Cost",Medium,"Storage, Breakage, Sustainability",Weekly,20K-1L,High,"Paper, Plastic",Branding,"Cost Increase, Regulation",50K-2L,20-30%,Low,Finance,"Performance, Sustainability, Supplier Analytics",Very Likely,Yes
Procurement,FMCG,Tier1,<5L,Weekly,"Flexible, Glass, Biodegradable",Excel,,Low,"Sustainability, Storage",Weekly,5K-20K,Low,"Paper, Plastic, Premium",Quality,Sustainability,<10K,10-20%,Low,Operations,"Cost Dashboard, Supplier Analytics, Sustainability",Not Sure,Maybe
Finance,Restaurant,Tier2,1Cr+,Weekly,"Plastic, Paper",Vendor,"Inventory, Supplier, Failures",Medium,Wastage,Monthly,<5K,Low,"Plastic, Recyclable",Quality,Supplier Issues,2L-10L,10-20%,High,Owner,"Forecasting, Performance, Sustainability",Very Likely,Yes
Owner,FMCG,Tier2,<5L,Bulk,"Plastic, Biodegradable",Experience,,Medium,Supplier Issues,Monthly,<5K,Medium,"Premium, Plastic",Branding,"Cost Increase, Supplier Issues",<10K,20-30%,Medium,Owner,"Forecasting, Performance",Likely,No
Owner,Manufacturer,Tier2,<5L,Weekly,Paper,Experience,,Low,"High Cost, Supplier Issues",Daily,20K-1L,,Biodegradable,Branding,"Regulation, Complaints, Supplier Issues",<10K,20-30%,High,Owner,"Sustainability, Supplier Analytics, Performance",Very Likely,Yes
Owner,Manufacturer,Tier2,20L-1Cr,Monthly,"Paper, Flexible, Biodegradable",Experience,,Low,"Breakage, Sustainability",Weekly,20K-1L,Low,"Biodegradable, Plastic, Paper",Cost,"Regulation, Supplier Issues",50K-2L,10-20%,Low,Owner,"Cost Dashboard, Performance, Supplier Analytics",Likely,No
Owner,FMCG,Tier2,5L-20L,Weekly,Glass,No Process,"Supplier, Failures",Medium,Breakage,Rare,<5K,High,"Plastic, Paper",Sustainability,Complaints,50K-2L,20-30%,High,Owner,Cost Dashboard,Not Sure,Maybe
Operations,FMCG,Tier1,5L-20L,Daily,"Flexible, Biodegradable, Glass",Vendor,"Supplier, Inventory, Cost",High,"Storage, Supplier Issues",Weekly,20K-1L,Medium,"Premium, Paper",Sustainability,Regulation,50K-2L,30%+,High,Finance,"Supplier Analytics, Forecasting",Very Likely,Yes
Procurement,Restaurant,Tier2,20L-1Cr,Weekly,"Biodegradable, Paper",No Process,Failures,Medium,"Breakage, Supplier Issues, High Cost",Rare,5K-20K,Medium,"Recyclable, Biodegradable, Paper",Cost,Complaints,2L-10L,5-10%,High,Owner,"Performance, Cost Dashboard",Very Likely,Maybe
Owner,Cloud Kitchen,Tier2,<5L,Daily,"Flexible, Paper, Biodegradable",No Process,"Failures, Inventory, Cost",Medium,"High Cost, Breakage, Storage",Monthly,5K-20K,,"Premium, Plastic, Biodegradable",Sustainability,"Regulation, Cost Increase, Supplier Issues",<10K,5-10%,Low,Operations,"Sustainability, Performance",Likely,Maybe
Owner,Supplier,Tier1,<5L,Daily,Glass,Experience,"Inventory, Cost, Failures",High,"Breakage, Storage",Daily,20K-1L,Low,Plastic,Sustainability,Sustainability,<10K,20-30%,Medium,Operations,"Performance, Supplier Analytics, Cost Dashboard",Very Likely,Maybe
Owner,Restaurant,Tier1,5L-20L,Bulk,"Biodegradable, Flexible, Glass",Experience,,Medium,"Sustainability, Storage, Breakage",Daily,1L+,Medium,Paper,Branding,"Regulation, Supplier Issues, Complaints",10K-50K,30%+,Medium,Multiple,"Forecasting, Performance, Supplier Analytics",Very Likely,Yes
Operations,Cloud Kitchen,Tier2,20L-1Cr,Weekly,"Biodegradable, Glass, Flexible",No Process,"Supplier, Cost, Failures",Medium,"High Cost, Sustainability, Breakage",Rare,<5K,High,"Biodegradable, Premium, Recyclable",Sustainability,"Sustainability, Complaints",50K-2L,20-30%,High,Owner,Sustainability,Unlikely,No
Owner,Restaurant,Tier3,1Cr+,Bulk,"Biodegradable, Glass",Experience,"Cost, Failures",High,Sustainability,Weekly,20K-1L,Medium,"Biodegradable, Plastic",Sustainability,"Cost Increase, Regulation",10L+,30%+,High,Finance,Forecasting,Likely,Yes
Owner,FMCG,Tier2,5L-20L,Daily,"Biodegradable, Paper, Flexible",Experience,"Inventory, Supplier, Cost",Medium,"Sustainability, Storage",Weekly,5K-20K,Medium,"Premium, Recyclable, Biodegradable",Branding,Supplier Issues,10K-50K,10-20%,High,Finance,"Forecasting, Cost Dashboard",Not Sure,Maybe
Owner,Restaurant,Tier3,5L-20L,Bulk,"Glass, Flexible, Plastic",No Process,Inventory,High,"Breakage, High Cost",Monthly,<5K,High,Biodegradable,Quality,Supplier Issues,10K-50K,20-30%,Medium,Multiple,"Cost Dashboard, Sustainability",Likely,Maybe
Operations,Cloud Kitchen,Tier1,1Cr+,Monthly,Glass,ERP,,Low,"High Cost, Storage, Breakage",Weekly,5K-20K,High,Plastic,Branding,"Complaints, Supplier Issues",2L-10L,5-10%,High,Finance,Cost Dashboard,Very Likely,Yes
Finance,FMCG,Tier1,5L-20L,Weekly,"Biodegradable, Flexible",Experience,Cost,High,Breakage,Weekly,20K-1L,Low,Recyclable,Cost,"Supplier Issues, Sustainability",10K-50K,5-10%,High,Multiple,Supplier Analytics,Likely,Maybe
Owner,Restaurant,Tier2,<5L,Bulk,"Plastic, Paper, Glass",No Process,Failures,Medium,Wastage,Monthly,<5K,Low,Recyclable,Cost,Sustainability,<10K,5-10%,High,Operations,"Forecasting, Performance",Not Sure,Maybe
Owner,Supplier,Tier2,<5L,Bulk,"Glass, Plastic, Biodegradable",ERP,"Supplier, Cost",Medium,"Storage, Wastage, Sustainability",Monthly,<5K,Medium,"Recyclable, Biodegradable",Quality,"Sustainability, Regulation",<10K,20-30%,Low,Owner,"Performance, Supplier Analytics",Not Sure,No
Procurement,Manufacturer,Tier1,<5L,Monthly,Plastic,Vendor,"Cost, Failures, Inventory",High,"Breakage, Supplier Issues, High Cost",Weekly,5K-20K,Medium,"Recyclable, Biodegradable",Cost,Complaints,<10K,10-20%,High,Operations,"Forecasting, Performance, Cost Dashboard",Unlikely,No
Owner,Cloud Kitchen,Tier2,5L-20L,Bulk,Biodegradable,ERP,"Failures, Inventory",High,"Breakage, High Cost, Wastage",Weekly,20K-1L,Medium,Plastic,Branding,Supplier Issues,10K-50K,5-10%,High,Finance,"Cost Dashboard, Sustainability",Very Likely,Yes
Procurement,FMCG,Tier1,<5L,Bulk,"Biodegradable, Plastic, Flexible",No Process,"Failures, Inventory",High,"Sustainability, Breakage, Wastage",Monthly,<5K,High,"Premium, Recyclable, Plastic",Sustainability,"Cost Increase, Regulation",<10K,5-10%,Low,Operations,Cost Dashboard,Likely,Maybe
Operations,Cloud Kitchen,Tier2,<5L,Bulk,Flexible,Experience,,Medium,"High Cost, Sustainability, Storage",Weekly,5K-20K,Low,"Recyclable, Biodegradable",Branding,"Complaints, Regulation",<10K,10-20%,Low,Operations,"Cost Dashboard, Forecasting",Not Sure,Maybe
Procurement,FMCG,Tier2,1Cr+,Weekly,"Plastic, Glass, Paper",Experience,,Low,"Supplier Issues, Wastage, Sustainability",Daily,1L+,Medium,"Premium, Paper, Plastic",Cost,Sustainability,2L-10L,20-30%,Medium,Multiple,"Performance, Sustainability",Likely,No
Finance,Restaurant,Tier1,20L-1Cr,Daily,"Glass, Paper",Vendor,Failures,High,Supplier Issues,Rare,<5K,Medium,Plastic,Quality,Cost Increase,50K-2L,<5%,Medium,Finance,"Performance, Forecasting",Likely,Maybe
Owner,FMCG,Tier2,5L-20L,Daily,Paper,Experience,"Inventory, Failures",High,"Breakage, Wastage",Monthly,<5K,Low,Biodegradable,Branding,"Regulation, Complaints, Cost Increase",10K-50K,20-30%,Medium,Operations,Forecasting,Not Sure,No
